    0  376.0858 376.7065    5856     0  1799  4057  
    1  375.7390 374.9048    4746  1110  1971  2775  
    2  377.0000 374.5000    4305   441  1978  2327  
    3  376.3724 372.2100    4156   149  2199  1957  
    4  377.2236 372.8347    4561   405  1906  2655  
    5  377.7400 373.1794    4926   365  1723  3203  
    6  377.1052 373.1281    3697  1229  1529  2168  
    7  376.6170 372.2276    3800   103  1808  1992  
    8  376.6725 372.4116    4018   218  1782  2236  
    9  376.9146 369.7237    7042  3024  1920  5122  
   10  383.3760 370.8717    7414   372  2238  5176  
   11  385.0135 370.7549    8730  1316  2278  6452  
   12  388.0762 372.1215    8466   264  2499  5967  
   13  387.7188 370.4171    8440    26  1564  6876  
   14  387.6713 376.8745    4102  4338  1910  2192  
   15  390.6007 379.8007    3656   446  1656  2000  
   16  394.8183 381.8436    7069  3413  1701  5368  
   17  394.1990 381.4996    5110  1959  2745  2365  
   18  392.2734 375.4997    4048  1062  2081  1967  
   19  392.9724 369.2757    4780   732  1600  3180  
   20  395.4829 370.3443    5676   896  1434  4242  
   21  397.5998 373.2441    4821   855  1723  3098  
   22  401.0000 372.0004    4575   246  1908  2667  
   23  402.8883 372.7765    5665  1090  1981  3684  
   24  399.5013 365.0699    8299  2634  1884  6415  
   25  394.4409 361.4113    4866  3433  2141  2725  
   26  395.2560 363.7568    6253  1387  2870  3383  
   27  402.0086 360.8712    5674   579  1771  3903  
   28  399.7374 361.7285    5312   362  1323  3989  
   29  397.7176 364.5732    6069   757  2057  4012  
   30  401.5476 364.7041    6072     3  2264  3808  
   31  399.9098 364.3015    5553   519  1512  4041  
   32  397.4726 361.6591    6195   642  2341  3854  
   33  396.1318 364.6168    6111    84  1986  4125  
   34  396.0120 366.0194    7431  1320  2060  5371  
   35  401.9076 369.1497    8958  1527  2234  6724  
   36  406.5748 371.2977   11892  2934  3312  8580  
   37  410.8947 372.4833   10622  1270  2677  7945  
   38  416.8368 377.6961    6384  4238  2951  3433  
   39  415.4187 380.3256    7604  1220  2247  5357  
   40  413.5167 382.1077    8436   832  2651  5785  
   41  412.7993 387.3030    9288   852  2990  6298  
   42  416.0003 383.0000    8639   649  2505  6134  
