    0  123.9258 448.4376    7079     0  2115  4964  
    1  124.0538 448.5779    9787  2708  3631  6156  
    2  124.1954 447.6448    7000  2787  1827  5173  
    3  123.8107 447.3408   10103  3103  2288  7815  
    4  123.7810 446.9106    9422   681  1902  7520  
    5  123.4215 446.7311   10175   753  2679  7496  
    6  124.7280 448.1475    8521  1654  1699  6822  
    7  124.6545 448.2181    7903   618  1292  6611  
    8  125.2576 448.7288    7307   596  2037  5270  
    9  125.4762 448.2901    7450   143  1633  5817  
   10  124.7260 448.9228    6870   580  1513  5357  
   11  124.3604 448.0665    6145   725  1865  4280  
   12  124.8436 448.3375    7481  1336  1636  5845  
   13  124.5804 447.9293    8042   561  1835  6207  
   14  124.9194 448.4202    8560   518  1853  6707  
   15  124.3681 448.8340    7675   885  2446  5229  
   16  125.3078 447.9455    7844   169  1773  6071  
   17  125.0916 448.4926    8755   911  2614  6141  
   18  124.7110 448.1884    9073   318  1741  7332  
   19  124.6266 448.3531    8435   638  2560  5875  
   20  124.2317 448.2148    6325  2110  1455  4870  
   21  124.6370 448.2387    7637  1312  3162  4475  
   22  125.4365 448.5843    7589    48  3425  4164  
   23  124.8843 448.1388    6061  1528  1133  4928  
   24  124.8216 448.3439    7296  1235  1977  5319  
   25  124.3819 448.2211    9419  2123  3245  6174  
   26  125.3574 448.7989    9057   362  1881  7176  
   27  126.7628 448.6763    8440   617  2696  5744  
   28  125.3100 447.9776   10324  1884  1745  8579  
   29  124.8235 448.0222    8803  1521  1925  6878  
   30  122.4217 447.8737    8858    55  2150  6708  
   31  121.3870 449.6935    8212   646  2450  5762  
   32  125.1160 448.5971    6832  1380  2035  4797  
   33  123.7197 448.7251    7070   238  2028  5042  
   34  123.6056 447.9955    6740   330  2097  4643  
   35  122.5955 447.3038    9020  2280  3517  5503  
   36  122.3589 446.9280    8914   106  1577  7337  
   37  122.9099 446.1026    7662  1252  1783  5879  
   38  125.3508 446.8589    8968  1306  2310  6658  
   39  124.7128 447.7878   11550  2582  2249  9301  
   40  124.3169 448.7792    7113  4437  1862  5251  
   41  124.0321 447.5262    6424   689  1265  5159  
   42  124.4163 448.7063    7640  1216  1994  5646  
   43  124.9623 447.8895    8061   421  1334  6727  
   44  124.2288 447.8909    9280  1219  2768  6512  
   45  123.1900 450.4817    8604   676  2124  6480  
   46  125.7686 449.5396    9999  1395  1549  8450  
   47  125.0843 447.0292    9442   557  1966  7476  
   48  126.1774 449.2017   10758  1316  1785  8973  
   49  126.1760 446.7992    8415  2343  1565  6850  
   50  126.2853 447.0177    8499    84  1835  6664  
   51  125.3636 447.8880    6268  2231  1873  4395  
   52  127.5609 446.9429    9010  2742  1365  7645  
   53  126.3624 448.5489    7105  1905  2010  5095  
   54  125.2149 446.3566    8865  1760  1799  7066  
   55  125.0091 446.9512    8043   822  1744  6299  
   56  124.5217 448.2077    8387   344  1908  6479  
   57  124.9968 446.2680    8320    67  1696  6624  
   58  127.6945 447.5413    9812  1492  3174  6638  
   59  127.2840 447.7571    8180  1632  1765  6415  
   60  124.4872 448.0892    6184  1996  1730  4454  
   61  124.7117 447.9549    9802  3618  1854  7948  
   62  123.8960 448.4377    7993  1809  1901  6092  
   63  125.7088 449.5076    6821  1172  2131  4690  
   64  123.9274 448.3071    5503  1318  1736  3767  
   65  128.8600 446.8071    6153   650  1908  4245  
   66  125.4830 448.7086   10095  3942  2733  7362  
   67  124.9603 449.7203    7345  2750  1748  5597  
   68  125.4668 451.0953    9296  1951  3173  6123  
   69  122.5546 447.7856    9079   217  1871  7208  
   70  124.7921 447.5633    9479   400  1663  7816  
   71  124.0348 446.2046    9255   224  1657  7598  
   72  124.0992 448.1947    9758   503  2192  7566  
   73  125.0670 447.1518    7264  2494  1858  5406  
   74  125.2788 447.8089   10091  2827  2036  8055  
   75  125.0408 447.8185   11767  1676  1615 10152  
   76  125.1731 447.6488   11037   730  2376  8661  
   77  125.2031 446.5739    9573  1464  2087  7486  
   78  125.1439 447.4139   10926  1353  1895  9031  
   79  125.7368 447.3153   11284   358  1980  9304  
   80  124.3002 448.5359    8217  3067  1506  6711  
   81  124.7144 448.7587   10655  2438  3277  7378  
   82  124.4204 447.9610    8205  2450  1277  6928  
   83  125.5010 447.8417   10456  2251  2299  8157  
   84  125.0794 448.0171   10006   450  1977  8029  
   85  125.6558 447.7009    7903  2103  1102  6801  
   86  124.7587 448.4672    9466  1563  1914  7552  
   87  126.2830 447.8944    9893   427  2777  7116  
   88  123.9493 448.1856    3148  6745  1475  1673  
   89  123.9845 447.9932    6661  3513  1247  5414  
   90  124.2449 448.0898    8593  1932  2073  6520  
   91  126.4891 448.5345   10819  2226  2763  8056  
   92  124.5472 447.4687    9027  1792  1390  7637  
   93  125.2456 448.7063    6547  2480  1871  4676  
   94  125.3814 448.6155    9185  2638  2223  6962  
   95  126.9070 448.1022   10225  1040  2464  7761  
   96  126.0487 448.4726   10822   597  1972  8850  
   97  128.2255 449.6609    3551  7271  1933  1618  
   98  128.1846 449.0896    4077   526  1240  2837  
   99  129.9139 450.6579    3339   738  1157  2182  
