   67  21.1288 499.6663    3126     0  1338  1788  
   68  20.9784 496.1769    3573   447   966  2607  
   69  19.6951 498.0267    4166   593  1310  2856  
   70  15.8026 492.9493    2789  1377  1308  1481  
   71  17.8708 494.8768    2769    20   824  1945  
   72  18.3601 495.5534    4597  1828  1400  3197  
   73  17.1697 501.1091    3044  1553   566  2478  
   74  19.6276 499.8245    3281   237   672  2609  
   75  22.7932 502.2275    3060   221  1452  1608  
   76  18.9855 500.9712    3859   799  1364  2495  
   77  24.3071 502.0834    2680  1179  1284  1396  
   78  24.2675 502.5544    3531   851   877  2654  
   79  25.0297 500.5819    3302   229  1225  2077  
   80  25.4597 501.1595    2605   697   855  1750  
   81  27.7191 498.3670    2700    95   992  1708  
   82  24.5389 500.1530    2918   218  1159  1759  
   83  25.9172 502.2623    3468   550   964  2504  
   84  24.5575 500.2838    4166   698  1620  2546  
   85  23.5626 495.4766    4126    40  1127  2999  
   86  24.1627 499.0809    4818   692   978  3840  
   87  25.2176 498.6954    2858  1960  1327  1531  
   88  32.6704 500.9087    3494   636  1174  2320  
   89  36.4947 500.3675    3399    95  1117  2282  
   90  38.1206 500.3235    4640  1241  1127  3513  
   91  31.1996 497.6013    2786  1854  2072   714  
   92  34.8995 500.3384    5192  2406  1368  3824  
   93  33.5675 497.7345    3272  1920  1069  2203  
   94  38.6075 492.8323    3372   100  1348  2024  
   95  41.2012 490.5993    2301  1071  1589   712  
   96  41.4689 490.6370    4042  1741  1127  2915  
   97  39.1719 487.6687    3507   535  2131  1376  
   98  37.2999 489.8157    3497    10  1342  2155  
   99  35.9334 486.5698    3677   180  1469  2208  
