    0  184.3232 424.4798    5236     0  1919  3317  
    1  186.2799 424.0851    4492   744  1572  2920  
    2  186.9928 415.7066    4510    18  1595  2915  
    3  188.1446 409.0529    7355  2845  2127  5228  
    4  188.2977 406.1016    7581   226  2529  5052  
    5  189.2974 405.3777    4453  3128  1499  2954  
    6  187.6898 400.8486    4960   507  2466  2494  
    7  191.3339 400.6778    7144  2184  2396  4748  
    8  189.7578 397.5693    8329  1185  2112  6217  
    9  189.6289 396.9702    8177   152  2872  5305  
   10  190.9159 399.5144    4809  3368  2181  2628  
   11  193.8418 398.3736    5247   438  2046  3201  
   12  189.9883 398.8221    6341  1094  2082  4259  
   13  187.3240 397.6197    6364    23  2695  3669  
   14  189.7262 394.2977    6766   402  2352  4414  
   15  190.5987 394.7000    7969  1203  2856  5113  
   16  189.8949 397.4471    5722  2247  2801  2921  
   17  193.9535 397.0962    5843   121  2093  3750  
   18  192.7334 392.5625    6192   349  1790  4402  
   19  194.3499 390.8648    5539   653  1696  3843  
   20  196.8871 388.6851    6056   517  2252  3804  
   21  195.6060 381.5236    4430  1626  1347  3083  
   22  197.5898 376.7008    6159  1729  2946  3213  
   23  198.6442 373.0622    5861   298  1862  3999  
   24  197.9029 370.6358    5066   795  1917  3149  
   25  195.7720 369.6805    3834  1232  2357  1477  
   26  195.4569 370.4450    5098  1264  2985  2113  
   27  196.4098 371.2011    4973   125  2103  2870  
   28  199.6991 374.7328    5211   238  1813  3398  
   29  200.1265 379.0820    5830   619  2951  2879  
   30  208.3519 375.4381    8895  3065  2266  6629  
   31  202.8370 374.3502    5338  3557  2311  3027  
   32  202.5263 373.5916    6811  1473  2283  4528  
   33  204.1136 375.8798    6507   304  2336  4171  
   34  204.2781 379.8858    5390  1117  1832  3558  
   35  200.8716 379.7784    5726   336  2359  3367  
   36  200.8235 381.4683    4949   777  2450  2499  
   37  203.8723 380.3870    5849   900  2322  3527  
   38  205.6084 377.9110    6370   521  3133  3237  
   39  204.3973 375.1949    5983   387  3008  2975  
