    0  116.8607 21.9228   11886     0  2096  9790  
    1  116.7905 22.7158    9757  2129  1498  8259  
    2  116.4719 22.1312    7890  1867  2211  5679  
    3  117.2331 22.5639   10739  2849  1908  8831  
    4  117.2228 21.4085    6840  3899  1969  4871  
    5  117.4747 22.5032    8136  1296  2026  6110  
    6  117.3398 21.9570    9598  1462  2235  7363  
    7  116.9088 22.7764    9795   197  2873  6922  
    8  117.0098 22.5163    9519   276  1814  7705  
    9  117.0075 22.4907   10811  1292  4016  6795  
   10  117.0222 22.8249   10571   240  3365  7206  
   11  117.2800 23.0284    7167  3404  2105  5062  
   12  117.4125 21.9919    8730  1563  1951  6779  
   13  117.4250 22.6265   10647  1917  2215  8432  
   14  117.2280 22.5605   10787   140  2607  8180  
   15  117.3272 22.4734   10631   156  2097  8534  
   16  117.3551 22.6262    9667   964  2489  7178  
   17  117.2592 22.4344   11310  1643  2668  8642  
   18  117.2605 21.5117   10841   469  2217  8624  
   19  117.0937 22.8035    9948   893  4320  5628  
   20  119.7188 22.3442   11626  1678  3347  8279  
   21  120.3080 21.6170   12743  1117  2315 10428  
   22  118.0555 22.2401   11538  1205  3006  8532  
   23  118.6562 22.0632   12836  1298  2262 10574  
   24  117.4944 22.1855   14851  2015  2898 11953  
   25  117.2540 20.7258   16273  1422  2686 13587  
   26  117.8656 22.6018    9589  6684  2311  7278  
   27  117.1938 22.6488   10565   976  2747  7818  
   28  116.6144 21.5374   10864   299  2135  8729  
   29  117.6282 19.2797   12838  1974  1779 11059  
   30  118.1542 20.0783   13104   266  5372  7732  
   31  116.7884 23.0560   10256  2848  1712  8544  
   32  117.0747 22.3417    8468  1788  2357  6111  
   33  116.9453 22.9637    8471     3  2109  6362  
   34  117.1524 22.4962    9817  1346  1574  8243  
   35  117.5870 22.1044    7803  2014  1586  6217  
   36  117.0252 22.2777   12565  4762  2032 10533  
   37  116.8969 21.9326   10602  1963  2486  8116  
   38  117.7071 22.3241   10347   255  2512  7835  
   39  117.2008 22.1366   10014   333  4064  5950  
   40  117.5422 21.8322   11101  1087  1950  9151  
   41  117.3940 22.2917   11749   648  3066  8683  
   42  117.0938 22.7826   10384  1365  3185  7199  
   43  116.9551 22.2925   10061   323  2529  7532  
   44  117.3020 22.0298    9120   941  3221  5899  
   45  117.8268 23.0890    9875   755  2474  7401  
   46  117.0230 22.2527    9387   488  1990  7397  
   47  117.8342 22.5314   10047   660  1608  8439  
   48  117.1393 22.4832    9126   921  1728  7398  
   49  116.6301 22.3575   11086  1960  8048  3038  
   50  116.8715 21.9664    9752  1334  7638  2114  
   51  117.6783 22.4163   12113  2361  2668  9445  
   52  117.4299 22.5011   10405  1708  3009  7396  
   53  117.2414 21.9725   10097   308  2156  7941  
   54  116.9724 22.6163    9354   743  2956  6398  
   55  117.1144 22.1059   13129  3775  2110 11019  
   56  117.5412 22.2145   10866  2263  2242  8624  
   57  116.8181 22.7695   14059  3193  2065 11994  
   58  115.2067 24.6490   14930   871  2931 11999  
   59  116.8983 23.0525   10891  4039  4788  6103  
   60  117.4533 22.8142   11365   474  7391  3974  
   61  115.9822 23.3034   14661  3296  2306 12355  
   62  116.7206 22.9464   17806  3145  2556 15250  
   63  117.6298 22.4843   17720    86  2591 15129  
   64  116.3555 21.5072   17389   331  3319 14070  
   65  117.4610 22.1152   17570   181  3764 13806  
   66  115.6363 21.4040   15265  2305  4691 10574  
   67  115.0031 21.9212   14473   792  2684 11789  
   68  117.3355 22.4805   13465  1008  2472 10993  
   69  116.4982 22.1941   12676   789  2109 10567  
   70  116.0897 23.0111   13080   404  2906 10174  
   71  115.8511 23.1093   14718  1638  3074 11644  
   72  116.2454 22.4623   15117   399  1634 13483  
   73  116.5702 22.6649   17415  2298  2730 14685  
   74  115.5484 21.6183   14906  2509  2989 11917  
   75  116.1215 21.0600   12954  1952  2545 10409  
   76  116.8972 22.5439    9070  3884  2329  6741  
   77  116.8979 22.7151   11204  2134  2440  8764  
   78  117.3641 22.0468   11391   187  1665  9726  
   79  117.5867 22.2403   10690   701  2274  8416  
   80  117.0072 21.8215    9598  1092  1666  7932  
   81  117.0605 21.6392   10245   647  1357  8888  
   82  117.4131 21.8988   11565  1320  2014  9551  
   83  116.6471 21.8877   12092   527  1606 10486  
   84  117.2895 21.8129   12467   375  2267 10200  
   85  117.3623 22.2713   11399  1068  2369  9030  
   86  116.2238 22.7650   10313  1086  2536  7777  
   87  117.1722 22.4361   10342    29  1603  8739  
   88  117.0132 22.0591   10375    33  2250  8125  
   89  117.1328 22.0120   11267   892  3846  7421  
   90  117.2416 22.5340   10694   573  2881  7813  
   91  116.9998 22.0543   11019   325  1776  9243  
   92  116.9848 22.8134    9948  1071  1922  8026  
   93  117.2330 21.6819   10329   381  2218  8111  
   94  117.6779 21.7132   10277    52  2642  7635  
   95  116.5248 22.1058   12514  2237  1814 10700  
   96  117.2083 22.5269    9785  2729  2090  7695  
   97  117.1646 22.8873    8978   807  1457  7521  
   98  116.4846 22.6214    8773   205  2141  6632  
   99  117.3188 22.0569    9007   234  1875  7132  
