    0  376.0265 76.2604    6899     0  2304  4595  
    1  376.4572 78.4065    6073   826  2055  4018  
    2  375.5937 77.9894    7477  1404  2592  4885  
    3  380.1974 78.7093    6189  1288  1555  4634  
    4  379.0800 81.9833    7762  1573  2338  5424  
    5  380.3642 77.6317    6474  1288  2605  3869  
    6  380.8844 76.5656    7664  1190  1474  6190  
    7  381.2743 78.0216    6569  1095  1905  4664  
    8  380.9165 78.7821    6568     1  1507  5061  
    9  379.8186 79.9809    7311   743  1499  5812  
   10  377.3489 79.6701    7607   296  1361  6246  
   11  376.1141 79.3700    8708  1101  2345  6363  
   12  375.3315 80.5747    6127  2581  1712  4415  
   13  372.9460 79.7963    6865   738  1633  5232  
   14  371.1749 78.0579    7230   365  1834  5396  
   15  372.0590 73.6576    6757   473  1721  5036  
   16  369.1355 72.5789    8752  1995  1981  6771  
   17  366.6909 80.3987    6938  1814  1364  5574  
   18  365.3425 86.3061    7516   578  1910  5606  
   19  363.9030 88.1168    7326   190  1613  5713  
   20  359.6471 93.0141    8275   949  2311  5964  
   21  358.4326 94.3145    8066   209  1585  6481  
   22  353.6269 97.3459    5752  2314  2424  3328  
   23  359.1373 99.1254    7197  1445  2088  5109  
   24  359.9940 97.2534    7181    16  1889  5292  
   25  358.1950 96.8982    7554   373  1420  6134  
   26  363.0225 102.7758    6980   574  1620  5360  
   27  365.3646 103.9165    5701  1279  1868  3833  
   28  366.5322 107.0648    7662  1961  1966  5696  
   29  370.7461 111.2937    6793   869  1813  4980  
   30  377.5306 114.0881    5382  1411  1733  3649  
   31  374.0628 115.7793    7154  1772  3121  4033  
   32  375.0594 117.0159    5580  1574  2348  3232  
   33  380.9061 117.3835    5386   194  1593  3793  
   34  384.7299 114.7715    6955  1569  1452  5503  
   35  382.3910 116.0203    7515   560  1875  5640  
   36  383.9655 114.9439    7102   413  2450  4652  
   37  384.0540 113.6270    8294  1192  1225  7069  
   38  382.7212 114.6778    5795  2499  1506  4289  
   39  379.5792 116.8082    5892    97  1511  4381  
   40  382.2938 118.5255    7466  1574  2039  5427  
   41  381.9135 118.3981    5771  1695  1799  3972  
   42  380.3867 115.0686    7728  1957  1636  6092  
   43  381.7956 117.7914    8201   473  1612  6589  
   44  384.3169 121.5934    8616   415  1640  6976  
   45  385.5955 123.6713    7078  1538  1527  5551  
   46  384.9464 126.2648    6422   656  1770  4652  
   47  387.0772 127.3418    6076   346  1911  4165  
   48  389.3045 124.5952    6944   868  2324  4620  
   49  393.1470 124.8852    6451   493  1193  5258  
   50  398.8732 128.9996    6656   205  2102  4554  
   51  396.0449 125.1356    7773  1117  1744  6029  
   52  397.0326 128.3192    5362  2411  2072  3290  
   53  397.9395 124.5041    6230   868  2276  3954  
