   31  259.5805 434.5772    4132     0  1332  2800  
   32  253.1926 430.2362    5612  1480  2812  2800  
   33  259.7990 428.6004    2961  2651  2770   191  
   34  258.9360 426.3644    4084  1123  2170  1914  
   35  255.9986 425.9986    3521   563  2032  1489  
   36  252.0833 431.3881    4778  1257  1452  3326  
   37  245.8970 433.4820    4717    61  2041  2676  
   38  244.9990 442.4670    2708  2009  2504   204  
   39  242.5995 445.8002    3300   592  2249  1051  
   40  238.0535 442.1101    3700   400  2476  1224  
   41  244.8762 443.3547    4795  1095  2110  2685  
   42  245.1089 442.7597    4353   442  2014  2339  
   43  248.7640 440.8803    4248   105  2055  2193  
   44  249.0048 439.6571    5062   814  1770  3292  
   45  242.9074 436.5579    4753   309  1751  3002  
   46  243.0550 435.8352    6462  1709  2192  4270  
   47  243.6186 435.1826    6892   430  2166  4726  
   48  246.7261 434.4290    6251   641  1818  4433  
   49  246.7981 432.8509    4745  1506  2325  2420  
   50  242.8447 435.7086    4356   389  1421  2935  
   51  242.7323 433.4192    4596   240  2157  2439  
   52  248.9164 438.3843    4393   203  1994  2399  
   53  246.8023 437.5651    3777   616  1869  1908  
   54  245.8562 435.6096    4925  1148  3146  1779  
   55  244.0699 434.8354    5105   180  1994  3111  
   56  246.3900 433.1444    4634   471  2170  2464  
   57  249.5303 430.3114    6706  2072  1914  4792  
   58  249.9107 429.7270    6631    75  2635  3996  
   59  256.6200 425.5186    5738   893  3305  2433  
   60  258.3271 423.7157    5538   200  1884  3654  
   61  258.9193 423.1075    5110   428  2614  2496  
   62  262.4175 422.7155    5031    79  2358  2673  
   63  260.3336 424.0648    5630   599  1420  4210  
   64  262.3241 426.4238    5258   372  1979  3279  
   65  261.3169 423.6497    5417   159  2134  3283  
   66  262.7355 423.7790    5164   253  2377  2787  
   67  265.1942 428.6192    5596   432  3213  2383  
   68  271.5009 427.4998    4426  1170  2539  1887  
   69  277.5980 426.9617    4549   123  1621  2928  
   70  277.2474 428.9445    5148   599  1769  3379  
   71  276.3393 430.2656    3937  1211  1679  2258  
