   64  77.7469 134.7128    3871     0  1151  2720  
   65  78.4516 132.4196    4986  1115  1114  3872  
   66  75.9797 132.7636    5189   203  1111  4078  
   67  77.6656 129.9439    4977   212  1200  3777  
   68  82.2063 133.9388    5157   180  1456  3701  
   69  81.4087 138.8511    6420  1263  1266  5154  
   70  81.6427 139.4091    6205   215  2087  4118  
   71  81.9163 140.3134    4991  1214  1105  3886  
   72  82.2889 139.9245    3312  1679  1182  2130  
   73  81.5253 139.9729    4935  1623  1685  3250  
   74  82.1787 140.8640    6065  1130  1505  4560  
   75  82.5248 140.4431    4360  1705  1388  2972  
   76  80.8050 140.7566    4557   197  1209  3348  
   77  81.2445 140.3126    5710  1153  1196  4514  
   78  78.3995 136.7348    6018   308  1302  4716  
   79  76.6860 137.1042    5364   654  1323  4041  
   80  80.3700 144.9037    4043  1321  1687  2356  
   81  79.7600 148.5309    3900   143  1125  2775  
   82  75.5882 145.5857    4783   883  1614  3169  
   83  73.6317 149.1450    4930   147  1335  3595  
   84  76.4581 147.3241    4150   780  1142  3008  
   85  77.4346 143.5456    4469   319  1386  3083  
   86  79.6064 143.0761    4696   227  1429  3267  
   87  81.6765 143.2344    4204   492  1606  2598  
   88  83.0698 145.9722    3514   690  1219  2295  
   89  88.5537 147.8062    4638  1124  1183  3455  
   90  87.2882 147.6581    4502   136  1806  2696  
   91  86.2601 141.6757    3521   981  1435  2086  
   92  86.8623 138.7730    4362   841  1423  2939  
   93  89.7113 145.5728    4538   176  1342  3196  
   94  91.0907 146.2728    5172   634  1450  3722  
   95  86.7891 144.2142    4916   256  1811  3105  
