   69  79.6544 412.0606    3599     0  1157  2442  
   70  80.7053 411.7427    2944   655  1301  1643  
   71  80.4000 412.1999    2377   567  1603   774  
   72  77.3676 411.5949    4402  2025  2283  2119  
   73  76.0459 409.4612    3150  1252  1649  1501  
   74  73.7286 414.0001    3732   582  1781  1951  
   75  77.3353 410.3074    3905   173  1396  2509  
   76  77.3994 412.1990    3154   751  1450  1704  
   77  82.9984 410.7128    3115    39  1722  1393  
   78  81.3993 409.2013    4050   935  1677  2373  
   79  77.3992 406.7985    2910  1140  1420  1490  
   80  74.3302 404.4008    3732   822  2353  1379  
   81  71.5902 398.8736    3047   685   794  2253  
   82  63.6195 393.8768    6315  3268  2290  4025  
   83  64.4426 392.6523    6549   234  1436  5113  
   84  63.3941 401.6805    4545  2004  1587  2958  
   85  66.7936 409.8546    4351   194  1727  2624  
   86  69.4999 410.0019    3561   790  1828  1733  
   87  70.9992 410.5092    4244   683  1235  3009  
   88  67.3658 410.0585    5344  1100  2028  3316  
   89  69.1422 413.8215    3750  1594   986  2764  
   90  69.7857 414.4701    4183   433  1424  2759  
   91  64.3855 413.4263    4785   602  1875  2910  
   92  61.4266 408.1800    4850    65  2673  2177  
   93  63.4193 401.0489    3881   969  1217  2664  
   94  60.4313 396.9371    4326   445  1682  2644  
   95  55.8502 395.0278    3552   774  2694   858  
   96  59.0670 400.7341    3998   446  1602  2396  
   97  58.7741 397.5506    4429   431  1393  3036  
   98  60.8367 401.0609    4945   516  1521  3424  
   99  60.7708 403.8902    4273   672  1416  2857  
