    0  113.9608 381.8663    5148     0  2606  2542  
    1  113.1295 381.9270    5604   456  1799  3805  
    2  112.2745 381.4020    5413   191  1861  3552  
    3  111.6404 380.5404    5200   213  2415  2785  
    4  108.6855 382.2863    6574  1374  1916  4658  
    5  110.1121 381.5484    5200  1374  2715  2485  
    6  109.9059 387.9770    5029   171  3553  1476  
    7  108.4232 388.6455    5402   373  2055  3347  
    8  108.0604 384.6136    5666   264  2532  3134  
    9  102.4146 388.1186    7987  2321  2525  5462  
   10  102.3586 382.1748    8117   130  2518  5599  
   11  106.1821 380.9509    5765  2352  2487  3278  
   12  100.9722 381.0635   10113  4348  2454  7659  
   13  97.1490 381.9269    9981   132  1754  8227  
   14  93.9494 382.3147   10578   597  4174  6404  
   15  90.4572 384.1128    7752  2826  2029  5723  
   16  86.9569 383.0633    7519   233  2344  5175  
   17  89.7037 380.0371    8718  1199  2715  6003  
   18  94.3236 377.6188    7386  1332  2954  4432  
   19  92.5841 377.7592    7956   570  2620  5336  
   20  87.7759 376.1096    6523  1433  3041  3482  
   21  86.0561 371.0854    6561    38  2359  4202  
   22  87.5387 373.8155    5917   644  2158  3759  
   23  86.4040 376.2488    6004    87  3095  2909  
   24  93.5390 377.8634    7048  1044  3129  3919  
   25  91.0997 376.0072    5522  1526  1919  3603  
   26  95.5150 377.3236    7573  2051  2268  5305  
   27  98.6323 379.9073    5767  1806  2777  2990  
   28  99.6758 385.8915    7231  1464  2356  4875  
   29  94.7126 390.5204    9702  2471  2514  7188  
   30  92.0329 390.3655   10009   307  2651  7358  
   31  92.5827 389.3131    8790  1219  2498  6292  
   32  90.8659 389.0568    9457   667  1943  7514  
   33  87.0654 390.2536    8431  1026  2539  5892  
   34  89.0398 390.0589    9932  1501  4041  5891  
   35  93.1970 393.3999   11558  1626  1747  9811  
   36  91.5002 387.5000   10497  1061  2112  8385  
   37  90.9540 386.8887    7480  3017  1615  5865  
   38  85.2710 381.0734    6094  1386  2655  3439  
   39  78.8441 381.5376    5885   209  2242  3643  
   40  80.5306 382.4140    5436   449  1820  3616  
   41  79.1884 379.2717    6350   914  2089  4261  
   42  75.9242 374.5184    5025  1325  1533  3492  
   43  77.4752 374.0090    4565   460  1437  3128  
   44  76.8601 376.4377    5777  1212  2279  3498  
   45  79.6973 379.4101    5735    42  2466  3269  
   46  82.2805 382.3093    5914   179  2156  3758  
   47  86.5702 382.7942    5848    66  2022  3826  
   48  90.4442 388.7795    6197   349  1603  4594  
   49  90.0771 387.1811    6914   717  2513  4401  
   50  89.8527 385.5351    7508   594  1759  5749  
   51  92.6110 387.4593    6326  1182  1896  4430  
   52  95.1506 386.9944    7023   697  1675  5348  
   53  91.8371 383.9610    6037   986  2369  3668  
   54  85.8250 384.4410    4933  1104  1996  2937  
   55  87.2287 386.7812    5199   266  2610  2589  
   56  84.1335 388.9881    6385  1186  1500  4885  
   57  85.7734 391.0940    5218  1167  1516  3702  
   58  86.6152 390.7772    6764  1546  1919  4845  
   59  87.4565 393.9182    5938   826  2393  3545  
   60  90.3542 393.4452    7734  1796  2214  5520  
   61  89.0000 396.5007    5784  1950  1390  4394  
