    7  413.0931 425.9091    4180     0  1606  2574  
    8  416.4000 426.7980    3053  1127  1625  1428  
    9  413.0013 425.9991    3619   566   779  2840  
   10  418.7978 424.3303    3502   117  1859  1643  
   11  420.5988 422.7996    2393  1109  1870   523  
   12  416.7985 429.4002    3655  1262  2249  1406  
   13  412.2360 424.9447    4567   912  1854  2713  
   14  414.5797 422.6413    6688  2121  2264  4424  
   15  412.7264 424.0251    4354  2334  1289  3065  
   16  417.3288 421.2054    4927   573  1905  3022  
   17  418.2468 419.3179    5745   818  2620  3125  
   18  421.0111 420.9963    4189  1556  2010  2179  
   19  411.7998 422.5999    6979  2790  1705  5274  
   20  419.7995 423.1998    2540  4439  2000   540  
   21  416.7121 414.9991    3239   699  2216  1023  
   22  418.5409 414.8050    3940   701  1530  2410  
   23  413.4711 407.8960    4244   304  1337  2907  
   24  415.0008 406.9991    3509   735  2052  1457  
   25  417.3960 409.8176    4092   583  2277  1815  
   26  418.0675 409.0689    3785   307  1986  1799  
   27  417.3588 409.5359    3479   306  1010  2469  
   28  417.1064 408.7866    4828  1349  1204  3624  
   29  416.6364 412.5030    3801  1027  1762  2039  
   30  416.7136 409.4982    3390   411  2343  1047  
   31  417.9993 411.9996    3225   165  1782  1443  
   32  419.5102 416.5175    4844  1619  1577  3267  
   33  419.7086 415.9651    3961   883  1574  2387  
   34  425.7900 413.4645    4590   629  1814  2776  
   35  426.4219 413.2908    4520    70  1540  2980  
   36  431.0006 411.0004    3019  1501  1608  1411  
   37  429.6087 413.7538    4632  1613  1122  3510  
   38  431.2974 414.8553    4409   223  1690  2719  
   39  434.3384 419.3423    6090  1681  1696  4394  
   40  436.3664 419.6315    3736  2354  1335  2401  
   41  434.1459 418.5354    4671   935  1734  2937  
   42  431.6589 419.3212    5469   798  2236  3233  
   43  432.4011 416.7386    4971   498  1120  3851  
   44  434.7621 421.0240    4187   784  1219  2968  
   45  433.0615 422.8195    5358  1171  1690  3668  
   46  431.9208 421.1669    4715   643  1568  3147  
   47  432.4879 421.9974    3680  1035  1576  2104  
   48  428.7519 419.6969    5582  1902  1603  3979  
   49  430.9775 421.5665    5134   448  1519  3615  
   50  434.7992 425.6000    2941  2193  1939  1002  
   51  431.1492 429.1826    4290  1349  1843  2447  
   52  429.8996 434.8008    3593   697  1283  2310  
   53  432.5372 434.0512    5354  1761  2090  3264  
