   30  161.2466 273.9431    9906     0  2258  7648  
   31  162.8613 273.4555   11126  1220  2094  9032  
   32  166.3168 271.4472    8000  3126  2118  5882  
   33  166.5991 271.2350    9372  1372  2144  7228  
   34  164.6393 268.4409    7437  1935  2211  5226  
   35  165.1282 270.1590    8370   933  2437  5933  
   36  166.6441 272.5785    8663   293  1735  6928  
   37  168.7352 269.5888    8778   115  2129  6649  
   38  170.1845 269.8085    8100   678  2715  5385  
   39  170.3652 272.9542   10527  2427  2429  8098  
   40  172.3423 275.7185   10024   503  1871  8153  
   41  165.3749 274.3007    7693  2331  2237  5456  
   42  160.3326 275.3329    6409  1284  2341  4068  
   43  162.8874 272.9808    9388  2979  2214  7174  
   44  161.5082 271.8742    8261  1127  1591  6670  
   45  161.2477 275.7518    9914  1653  2290  7624  
   46  162.1952 274.6366   12290  2376  2893  9397  
   47  167.3486 270.8091    8171  4119  3086  5085  
   48  169.1977 271.8286    8664   493  2120  6544  
   49  167.2444 272.7875    8270   394  2145  6125  
   50  170.5253 270.9290    6632  1638  1888  4744  
   51  171.5350 270.9370    8797  2165  2028  6769  
   52  171.9989 268.6338    9699   902  2302  7397  
   53  171.7327 269.0301    8442  1257  2403  6039  
   54  173.7680 271.2219    9978  1536  2118  7860  
   55  172.4211 274.3129    9364   614  2630  6734  
   56  171.3908 273.9937   10347   983  2837  7510  
   57  174.8710 272.5762    9249  1098  2461  6788  
   58  173.4799 272.5287    9203    46  2102  7101  
   59  174.7320 272.5444    8211   992  2406  5805  
   60  172.2235 274.1155    8922   711  2168  6754  
   61  169.2975 276.0640    9276   354  2251  7025  
   62  168.8466 276.0098    8382   894  2805  5577  
   63  168.0925 271.2875    7623   759  2519  5104  
