   48  148.4798 247.9908    7615     0  3240  4375  
   49  150.4526 246.2788    6062  1553  1490  4572  
   50  149.0898 249.5900    7203  1141  1956  5247  
   51  148.0261 248.1188    7774   571  1563  6211  
   52  154.7119 247.1150    7367   407  2476  4891  
   53  150.3115 244.8419    8687  1320  2032  6655  
   54  151.3531 243.3202    7597  1090  2109  5488  
   55  153.4841 250.7374    6570  1027  2988  3582  
   56  150.7810 253.9602    6697   127  1891  4806  
   57  145.9962 253.1962    7648   951  1740  5908  
   58  147.5331 248.4218    9401  1753  2359  7042  
   59  148.5185 243.5413    6346  3055  2017  4329  
   60  149.0002 245.9997    7282   936  2116  5166  
   61  149.7280 243.6258    5506  1776  1307  4199  
   62  150.9075 243.4821    6077   571  1832  4245  
   63  150.7300 243.8152    5321   756  2162  3159  
   64  144.1156 241.0757    5248    73  2342  2906  
   65  141.1781 238.2883    5422   174  1842  3580  
   66  143.1548 240.5404    6027   605  1856  4171  
   67  144.7729 242.6099    6234   207  2417  3817  
   68  152.4365 243.0507    5322   912  1723  3599  
   69  157.8394 244.5169    7722  2400  1843  5879  
   70  161.4808 239.9539    7428   294  1207  6221  
   71  162.9023 237.5379    6637   791  1557  5080  
   72  163.1458 243.2898    4987  1650  2680  2307  
   73  163.6168 241.9509    5690   703  2133  3557  
   74  168.7479 241.4842    6058   368  2004  4054  
   75  168.7112 248.3715    5909   149  2248  3661  
   76  171.5855 248.6338    7208  1299  1523  5685  
   77  170.6124 252.0194    5727  1481  1712  4015  
   78  166.6830 250.2713    6204   477  2376  3828  
   79  164.1111 245.3324    7370  1166  1869  5501  
