    0  322.0310 149.5846    8486     0  2235  6251  
    1  322.1478 149.0848    9049   563  1653  7396  
    2  321.6480 148.0696    8288   761  2042  6246  
    3  322.2527 148.6588    6908  1380  2833  4075  
    4  323.2362 149.5793    5994   914  1762  4232  
    5  323.1485 152.3220    8386  2392  2034  6352  
    6  325.5242 151.5798    7556   830  1447  6109  
    7  327.4667 156.0639    7267   289  2227  5040  
    8  324.5872 160.1608    8896  1629  1955  6941  
    9  329.0408 157.5272    8133   763  2389  5744  
   10  329.3353 157.3330    7312   821  1693  5619  
   11  327.4626 156.0219    7251    61  1734  5517  
   12  326.8803 157.9061    7802   551  1954  5848  
   13  326.7703 159.6287   11370  3568  1583  9787  
   14  325.3991 161.9033    8211  3159  1910  6301  
   15  324.6046 168.7188    8347   136  2523  5824  
   16  325.9452 169.0652   10113  1766  2914  7199  
   17  323.6639 168.0821    7050  3063  1654  5396  
   18  320.4501 168.1516    7420   370  1696  5724  
   19  318.6139 168.1096    7461    41  1464  5997  
   20  316.2633 168.3840    7793   332  2036  5757  
   21  317.9998 167.5990    7419   374  1936  5483  
   22  316.6300 166.6448   10160  2741  1790  8370  
   23  317.4933 168.0130    6334  3826  1326  5008  
   24  317.8673 167.6431    7690  1356  1307  6383  
   25  318.4955 167.4732    6828   862  2212  4616  
   26  316.7113 167.0661    8042  1214  1680  6362  
   27  315.3824 168.6472    6026  2016  1836  4190  
   28  314.5779 166.8795    6069    43  1099  4970  
   29  312.3849 167.1867    7497  1428  1690  5807  
   30  314.4912 167.2457    8583  1086  3075  5508  
   31  316.0417 164.9449    8253   330  1798  6455  
   32  315.8470 163.8480    6370  1883  1796  4574  
   33  316.7127 167.0395    7354   984  2469  4885  
   34  318.7398 167.7151    8059   705  1796  6263  
   35  320.0722 167.9341    8222   163  1500  6722  
   36  323.6721 164.0007    5940  2282  1196  4744  
   37  323.5461 164.6208    8512  2572  1691  6821  
   38  323.1395 165.3504    7688   824  1305  6383  
   39  324.2342 166.0780    7962   274  1461  6501  
   40  319.0913 167.5367    7186   776  1838  5348  
   41  318.4554 164.6228    8220  1034  1968  6252  
   42  320.4696 164.5156    6962  1258  1305  5657  
   43  324.1222 163.2695    4961  2001  1681  3280  
   44  326.5716 163.2432    7132  2171  1309  5823  
   45  326.2354 164.5088    8286  1154  2130  6156  
   46  327.7373 165.0218    6185  2101  2024  4161  
   47  327.7839 163.4811    7168   983  1722  5446  
   48  324.2363 167.0634    7479   311  1740  5739  
   49  321.9147 169.6775    7888   409  2319  5569  
   50  322.1410 168.9198    9057  1169  2309  6748  
   51  322.5361 164.7933    7968  1089  1836  6132  
   52  322.8039 161.7879    7780   188  2494  5286  
   53  324.4211 160.4646    6047  1733  1689  4358  
   54  327.9801 162.6867    7208  1161  1799  5409  
   55  328.5660 158.9839    7393   185  1970  5423  
   56  324.9507 154.4294    8152   759  2600  5552  
   57  326.3793 154.5182    7973   179  2043  5930  
   58  329.5917 155.3655    6632  1341  1493  5139  
   59  333.0083 156.9173    7311   679  2515  4796  
   60  333.7646 154.1339    6820   491  1645  5175  
   61  332.1722 155.7952    8762  1942  2048  6714  
   62  330.8975 157.8265    8818    56  1264  7554  
   63  331.3743 159.2967    6932  1886  1633  5299  
   64  330.9939 158.9603    6920    12  1317  5603  
   65  329.1039 160.5028    7490   570  1609  5881  
   66  324.1497 160.3585    7144   346  2571  4573  
   67  326.5140 159.0274    6835   309  1351  5484  
   68  325.0770 158.9444    6925    90  1456  5469  
   69  323.9895 157.9227    7239   314  1799  5440  
   70  323.3507 155.9822    7311    72  2086  5225  
   71  322.5391 153.3558    8444  1133  1906  6538  
   72  324.8410 155.3866    7771   673  2503  5268  
   73  324.8944 155.8396    7671   100  3028  4643  
   74  326.8278 155.5050    7860   189  1827  6033  
   75  330.5039 154.1606    7502   358  2411  5091  
   76  331.7635 154.1423    7922   420  1493  6429  
   77  332.2547 154.2843   10439  2517  1445  8994  
   78  330.2975 151.2815    7477  2962  1980  5497  
   79  326.5232 150.2009    6708   769  1602  5106  
   80  326.4134 149.1579    5927   781  1585  4342  
   81  327.7178 150.5766    8480  2553  1830  6650  
   82  326.6603 148.3449    8138   342  1900  6238  
   83  328.7789 145.6533    6173  1965  1879  4294  
   84  329.1985 145.6391    7940  1767  1979  5961  
   85  329.0147 144.5839    7578   362  2333  5245  
   86  331.6615 145.6841    6540  1038  2233  4307  
   87  334.5845 144.6917    7843  1303  2244  5599  
   88  332.0294 144.1271    7290   553   910  6380  
   89  331.7462 143.1314    6351   939  2176  4175  
   90  331.3134 143.1351    7866  1515  2122  5744  
   91  333.0576 144.3772    8198   332  1991  6207  
   92  332.9907 141.5839    6217  1981  1789  4428  
   93  333.0217 140.8668    7823  1606  1739  6084  
   94  332.0731 138.9916    8564   741  1866  6698  
   95  331.4164 138.5943    7863   701  1965  5898  
   96  330.3440 138.6496    6658  1205  1058  5600  
   97  330.2255 138.7453    8333  1675  1191  7142  
   98  333.4363 137.5581    8372    39  2134  6238  
   99  331.9285 134.4806    7132  1240  1158  5974  
