   61  38.8316 397.8789    3598     0  1299  2299  
   62  39.4015 398.7970    2380  1218  1895   485  
   63  35.9941 401.4997    3093   713  1354  1739  
   64  36.9991 397.9993    3746   653  1504  2242  
   65  37.3555 398.5337    3478   268  1176  2302  
   66  39.4002 401.1985    2850   628  1247  1603  
   67  37.2827 401.4995    3147   297  1474  1673  
   68  38.2011 394.5996    4219  1072  1310  2909  
   69  36.1993 399.8998    4265    46  1144  3121  
   70  35.9312 403.0329    3767   498  2275  1492  
   71  36.7492 400.5355    4563   796  1550  3013  
   72  34.4467 399.5905    3457  1106  1362  2095  
   73  34.3409 401.4799    4220   763  1742  2478  
   74  34.8034 402.3603    3602   618  1913  1689  
   75  37.3983 398.0599    6113  2511  1864  4249  
   76  36.8698 395.7158    5294   819  1726  3568  
   77  43.1977 400.0013    5934   640  1305  4629  
   78  41.8931 402.6671    5565   369  1488  4077  
   79  45.3327 406.3945    5022   543  2034  2988  
   80  42.6003 405.7999    4529   493  2010  2519  
   81  45.6920 408.8515    4274   255  1489  2785  
   82  51.1018 410.4397    4926   652  2110  2816  
   83  47.2253 412.3758    3645  1281  1936  1709  
   84  47.0432 410.1753    4258   613  2541  1717  
   85  46.4649 412.5681    4683   425  1917  2766  
   86  49.0738 414.2122    3821   862  2062  1759  
   87  45.9634 414.6781    4643   822  1861  2782  
   88  36.8696 414.8792    3572  1071  1830  1742  
   89  38.7909 420.0039    3812   240  2668  1144  
   90  30.4432 417.2087    3862    50   800  3062  
   91  28.7835 419.0586    4148   286  1168  2980  
   92  35.0383 420.4002    5124   976  1667  3457  
   93  36.2163 419.3666    5709   585  1603  4106  
   94  38.5898 423.3904    5619    90  1080  4539  
   95  39.7787 420.5215    6287   668  2037  4250  
   96  40.4213 421.5873    5094  1193  2150  2944  
   97  39.8493 422.3906    4638   456  1647  2991  
   98  39.1157 422.4955    3969   669  2604  1365  
   99  38.9631 421.8900    4747   778  1716  3031  
