   18  205.0771 419.1422    4270     0  1668  2602  
   19  208.7580 416.9766    3800   470  1823  1977  
   20  204.8747 421.8635    3925   125  1341  2584  
   21  205.1771 420.0290    3972    47  2406  1566  
   22  202.4083 424.2767    4977  1005  2296  2681  
   23  199.5469 426.4501    4553   424  1890  2663  
   24  201.5521 428.2049    3706   847  1740  1966  
   25  208.0004 431.9991    2851   855  2072   779  
   26  204.0034 429.6375    2985   134  1671  1314  
   27  199.1894 423.4717    4461  1476  2540  1921  
   28  201.6918 423.9820    4641   180  1596  3045  
   29  204.6685 424.2509    5277   636  2001  3276  
   30  200.8221 424.2659    5895   618  1820  4075  
   31  204.6428 423.4725    5121   774  2371  2750  
   32  205.0239 426.4311    5551   430  1884  3667  
   33  208.0877 424.4416    5827   276  1695  4132  
   34  203.8635 425.1339    4382  1445  1328  3054  
   35  210.0196 418.1411    5617  1235  1725  3892  
   36  211.0731 411.5713    6507   890  2510  3997  
   37  212.2440 407.9762    5124  1383  1771  3353  
   38  210.4605 406.5109    5737   613  2439  3298  
   39  209.0951 403.4800    6782  1045  1444  5338  
   40  211.7435 406.6690    5665  1117  2176  3489  
   41  205.3510 408.3664    7396  1731  1929  5467  
   42  202.4340 408.1498    6409   987  2160  4249  
   43  204.0395 411.6294    6580   171  2073  4507  
   44  206.5970 411.8931    6151   429  1722  4429  
   45  213.8375 412.3889    5659   492  2501  3158  
   46  223.0321 413.8602    6797  1138  1742  5055  
   47  225.2274 415.2085    7236   439  1621  5615  
   48  225.4777 410.7079    6492   744  2184  4308  
   49  228.6476 410.3980    6407    85  2590  3817  
   50  224.3053 413.8597    7996  1589  1997  5999  
   51  223.5956 417.1292    7392   604  1649  5743  
   52  223.2582 416.2040    7407    15  1326  6081  
   53  226.2251 422.0357    6163  1244  1789  4374  
   54  231.1458 426.4621    6327   164  2106  4221  
   55  228.8308 428.3192    4807  1520  1566  3241  
   56  229.0810 431.9813    4568   239  1912  2656  
   57  225.7195 428.7841    4821   253  1398  3423  
   58  234.2642 428.2614    4667   154  2452  2215  
   59  232.2570 427.8148    6970  2303  3333  3637  
   60  233.5668 431.4288    4832  2138  2441  2391  
   61  229.0637 424.8276    4830     2  2147  2683  
   62  225.0654 432.2814    4348   482  1671  2677  
   63  221.1837 437.4475    3919   429  1603  2316  
   64  219.9390 443.5627    6030  2111  2096  3934  
   65  220.9567 442.4381    4880  1150  1762  3118  
   66  221.1096 448.1880    4030   850  1524  2506  
   67  222.5258 448.3795    5296  1266  1060  4236  
   68  214.9874 447.1577    6209   913  1303  4906  
   69  217.9147 446.9583    4813  1396  1416  3397  
   70  220.5039 444.4924    4074   739  1704  2370  
   71  219.3419 441.3588    4954   880  1395  3559  
   72  220.2893 442.1355    4278   676  1553  2725  
   73  219.8355 445.5451    4212    66  1428  2784  
   74  222.0529 444.9573    4163    49  2445  1718  
   75  223.5521 442.3163    6340  2177  1032  5308  
   76  228.1069 445.7996    5906   434  2014  3892  
