    3  111.0000 356.4998    5916     0  2183  3733  
    4  113.5027 359.0092    5377   539  1448  3929  
    5  114.4534 356.9406    6133   756  1646  4487  
    6  113.1070 358.8338    5141   992  1963  3178  
    7  112.3238 359.7837    5580   439  2003  3577  
    8  114.8003 358.3996    3347  2233  2386   961  
    9  114.0793 358.6833    4485  1138  1622  2863  
   10  113.2056 356.5608    5523  1038  2566  2957  
   11  114.6134 353.0546    4857   666  1773  3084  
   12  114.3640 352.9078    3569  1288  1734  1835  
   13  119.8002 352.3999    2102  1467  1214   888  
   14  120.3998 352.7979    2748   646  1793   955  
   15  117.9608 353.2355    3530   782  1581  1949  
   16  117.4007 353.1996    2759   771  1882   877  
   17  114.5890 346.5638    2485   274  1770   715  
   18  106.0009 348.9988    2956   471  1398  1558  
   19  113.4003 354.8011    2923    33  1903  1020  
   20  105.6623 356.3357    2934    11  2031   903  
   21  115.0055 353.6014    3068   134  2271   797  
   22  117.3909 354.1657    3265   197  1436  1829  
   23  117.5991 354.2017    2413   852  1632   781  
   24  114.8709 355.6682    3770  1357  2928   842  
   25  112.8016 355.3997    3130   640  1127  2003  
   26  117.5880 354.1150    2775   355  2347   428  
   27  118.1107 355.2847    3571   796  2196  1375  
   28  117.9998 353.0011    2984   587  1939  1045  
   29  121.6000 349.2017    2235   749  1591   644  
   30  117.7743 354.5169    4587  2352  1950  2637  
   31  118.6003 354.2021    3130  1457  1339  1791  
   32  120.2991 352.3029    3272   142  1661  1611  
