   40  388.5322 452.8840    3617     0  1834  1783  
   41  388.3551 452.9971    4853  1236  2353  2500  
   42  391.4977 451.9999    4136   717  2024  2112  
   43  389.8482 453.6265    5124   988  1900  3224  
   44  391.0314 453.6083    5957   833  1238  4719  
   45  390.6627 451.9213    4954  1003  2000  2954  
   46  387.5871 452.0452    4125   829  1683  2442  
   47  385.2520 455.1925    3869   256  2567  1302  
   48  382.5015 450.8042    3623   246  1343  2280  
   49  383.9999 448.1622    4321   698  1408  2913  
   50  383.3586 448.0220    4830   509  1485  3345  
   51  385.5391 441.4395    4184   646  1682  2502  
   52  388.5487 439.4228    4499   315  1954  2545  
   53  392.0897 434.0041    4261   238  2388  1873  
   54  391.8922 432.4800    3576   685  1913  1663  
   55  397.2009 431.3996    3220   356  1031  2189  
   56  398.9542 432.8999    3852   632  1930  1922  
   57  402.6674 431.1120    3303   549  1372  1931  
   58  404.9419 429.8887    3387    84  1680  1707  
   59  401.1887 432.0999    4644  1257  1549  3095  
   60  398.6963 427.9408    3585  1059  2066  1519  
   61  397.4596 432.4399    4215   630  1468  2747  
   62  398.3214 433.4160    4873   658  1983  2890  
   63  396.2021 429.0704    4706   167  2502  2204  
   64  397.4379 429.6358    4096   610  1910  2186  
   65  397.1989 427.3212    3998    98  1417  2581  
   66  392.8352 427.7879    5297  1299  1386  3911  
   67  394.2007 418.8007    3306  1991  2203  1103  
   68  392.1853 420.7681    5596  2290  1776  3820  
   69  389.4422 422.0256    6418   822  1215  5203  
   70  388.6546 422.8435    4221  2197  2376  1845  
   71  390.1666 419.8571    4687   466  1554  3133  
   72  391.2261 423.0785    4720    33  1224  3496  
   73  392.6557 423.0631    3905   815  1677  2228  
   74  393.1322 421.1375    4368   463  1327  3041  
   75  392.2011 426.5996    3435   933  1991  1444  
   76  392.3037 426.9000    2895   540  1185  1710  
   77  391.3997 426.1992    2419   476  1418  1001  
   78  391.0815 426.9474    3647  1228  1563  2084  
   79  386.0061 429.5016    3939   292  1342  2597  
   80  384.3994 427.8005    2651  1288  1259  1392  
   81  386.1096 425.7692    3796  1145   964  2832  
   82  384.2994 425.6346    3697    99  1566  2131  
   83  382.9473 425.1031    4226   529  1511  2715  
   84  385.9910 420.6295    4341   115  2008  2333  
   85  389.5009 422.5037    3097  1244  2104   993  
   86  385.2905 423.3363    3827   730   878  2949  
   87  386.1307 421.4642    3294   533  2040  1254  
